"Name","Labels"
"(0)Introduction","0"
"(1-3)UnidentifiedLateHellenisticBuildings","1-3"
"(4)BuildingA","4"
"(5)ByzantineFortification","5"
"(6)Milesian","6"
"(7)DiningRooms","7"
"(8-10)NicheCultRooms","8-10"
"(11a)Stoa","11a"
"(11b)MonumentsStoaTerrace","11b"
"(12)Nike","12"
"(13)Theater","13"
"(14)AltarCourt","14"
"(15)Hieron","15"
"(16)HallofVotiveGifts","16"
"(17)HallofChoralDancers","17"
"(18)SacredWay","18"
"(20)RotundaofArsinoeII","20"
"(22)Sacristy","22"
"(23)Anaktoron","23"
"(24)DedicationofPhilipandAlexander","24"
"(25)TheatralCircle","25"
"(26)PropylonofPtolemyII","26"
"(28)DoricRotunda","28"
"(29)Neorion","29"
"(30)MonumentPlatformsSteppedRetainingWall","30"
"(31)IonicPorch","31"
